Episode,Reward,Steps
1,268.65358430296783,350
2,274.99075054085165,248
3,281.9762833136245,389
4,205.63234501007102,342
5,268.86806729249514,218
6,240.20354915620254,442
7,295.4808398309045,267
8,270.9781030032843,358
9,232.0420804892713,442
10,194.8263748699528,471
11,220.96342535051792,265
12,266.3933364256488,264
13,281.1994217455439,340
14,244.16827746958577,278
15,225.31396674729103,310
16,233.09336044497786,251
17,275.68734407881027,384
18,279.8914041398091,291
19,294.23581506446726,292
20,11.968581969502907,218
21,235.19275051685491,490
22,241.39369323417213,456
23,200.74019874202713,256
24,263.27366066948576,252
25,253.12165899424355,299
26,278.4883783627895,257
27,208.74022371314197,280
28,226.95438247862353,401
29,233.45837418141892,375
30,290.56000979713974,247
31,210.20779722781805,528
32,274.8862010418577,265
33,215.99791051997641,306
34,237.4308837226082,287
35,226.0391437917121,413
36,256.5339750239061,261
37,194.95512694746895,281
38,216.21252113250281,262
39,280.2753504453706,237
40,263.9706196264222,268
41,24.496695720561704,296
42,255.84144914896552,278
43,269.7646919549944,260
44,229.60453604646096,311
45,260.1471829001388,228
46,283.47253460908337,237
47,189.7747450844471,318
48,195.72700707847082,380
49,206.95352332116263,499
50,269.80532046416135,268
51,262.8921636537429,266
52,280.45661138066066,281
53,200.68679608402874,418
54,263.5405357934257,239
55,269.22728112957,252
56,199.52267982486237,313
57,207.52806746628346,269
58,260.9975766912369,243
59,277.87228512599006,261
60,-1.9133388704809562,196
61,207.07339714619698,307
62,-222.82735651768408,524
63,263.4026274029055,327
64,231.2876362124761,268
65,-31.063334085731313,193
66,157.60338032236598,483
67,227.01368477373953,384
68,237.8680313041287,255
69,-24.127088185755028,247
70,-218.37588788475944,387
71,258.4939653754477,413
72,258.20461053529584,302
73,283.53846677499814,285
74,226.96269611341782,288
75,306.54575558565955,238
76,236.22639477831183,265
77,241.24026561955867,441
78,240.24660507210692,300
79,286.0181932671329,278
80,203.3422889060652,308
81,261.46376936707287,236
82,8.248745607436263,267
83,-3.1511512481632025,231
84,243.10268881092924,233
85,2.348000834947186,204
86,211.25013135848803,316
87,256.09218169475366,307
88,295.92100885409695,324
89,274.2760956079295,281
90,289.31515241902076,354
91,234.9628289452477,485
92,231.8534299024487,252
93,232.96859782257246,270
94,229.74973130298974,265
95,245.81068131470684,336
96,199.98991115304665,373
97,246.34016355957414,252
98,216.00687962665762,291
99,195.9449020434904,444
100,254.35474229727816,292
