Episode,Reward,Mean_100
1,-105.60818119379783,-105.60818119379783
2,-190.9092789817783,-148.25873008778808
3,-324.0010912669725,-206.8395171475162
4,-97.92615607584023,-179.61117687959722
5,-443.2216200948497,-232.3332655226477
6,-346.05746136948335,-251.287298163787
7,-131.56429898497953,-234.18401256681452
8,-218.3971290021178,-232.2106521212274
9,-210.64123890808264,-229.81405065310022
10,-232.08836418737832,-230.04148200652804
11,-372.1869320105485,-242.96379564325716
12,-125.91896056131307,-233.2100593864285
13,-395.28981450924283,-245.6777328574142
14,-549.6368153557969,-267.38909589301295
15,-111.88835197298035,-257.02237963167744
16,-91.83489394194758,-246.69816177606933
17,-390.51967602321923,-255.15825084943106
18,-142.326240579996,-248.88980583446244
19,-87.6453510100989,-240.4032555805486
20,-82.54414588017079,-232.5103000955297
21,-127.36302121826253,-227.50328681565983
22,-154.87558846632288,-224.2020277997809
23,-130.76892510984513,-220.139718987175
24,47.54610301140943,-208.9861430705673
25,-182.4830518114641,-207.92601942020315
26,-197.7776425416211,-207.53569723256538
27,8.790249807624733,-199.52362511996577
28,-192.08289717790296,-199.25788483632067
29,-93.5894668815942,-195.61414628615768
30,-60.04102647529599,-191.09504229246232
31,-159.20546816744604,-190.06634635294566
32,-29.526758883322117,-185.0494842445199
33,-116.6895035031408,-182.97796967659934
34,21.631459371595213,-176.9600452928289
35,-141.16605668527785,-175.93735990404173
36,-339.96579821086004,-180.49370541256448
37,-41.583943281528825,-176.7393875171311
38,-202.90987055541544,-177.4280844391912
39,-368.45397919654795,-182.32618430476444
40,-114.58491458884777,-180.6326525618665
41,-141.85687978890343,-179.6869020064284
42,-320.5782064082471,-183.04145687313834
43,-74.33833859664152,-180.51347737833612
44,-52.82395336804658,-177.6114427417386
45,-163.34347546649445,-177.29437680228872
46,-163.23170985540492,-176.9886666512695
47,-249.9665886257866,-178.5413883954082
48,-100.94217071286336,-176.92473802702185
49,-156.83308212998895,-176.51470423320487
50,-118.98964618358933,-175.36420307221255
51,-81.23962804429986,-173.51862316970445
52,-139.16317960484656,-172.85794156268793
53,-154.85331920498038,-172.51823170688212
54,-314.01464615808555,-175.13853567820072
55,-217.8793929136212,-175.91564217339018
56,-333.5426603203913,-178.73041035458664
57,-99.60138054532167,-177.34218176144165
58,-91.20799766766437,-175.85710962189378
59,-270.6622674204202,-177.46397670322474
60,-84.30201087846264,-175.91127727281204
61,-411.37675004337626,-179.77136699036228
