Episode,Reward,Mean_100
1,-304.75124118622443,-304.75124118622443
2,-208.65073793561567,-256.70098956092005
3,-375.6174835180307,-296.33982087995696
4,-464.66116836666555,-338.4201577516341
5,-309.0505352696894,-332.54623325524517
6,-318.2492328685863,-330.1633998574687
7,-329.54056186480307,-330.07442300137365
8,-292.65878091185317,-325.3974677401835
9,-316.91523231526327,-324.45499713741464
10,-457.69142921723653,-337.7786403453968
11,-424.700296053757,-345.6806090461568
12,-559.2203455950198,-363.4755870918954
13,-216.37936917573734,-352.16049340603706
14,-459.4984043680595,-359.82748704618155
15,-265.15648890537693,-353.51608717012795
16,-569.2019299662875,-366.99645234488787
17,-515.3324467515246,-375.72209907469005
18,-452.6604236098966,-379.99645043775706
19,-206.64280615533568,-370.8725744228928
20,-547.0745651253051,-379.6826739580134
21,-522.0612245694966,-386.4626049395126
22,-490.8941238166527,-391.2094921612008
23,-319.8250020768518,-388.10581867927255
24,-507.57005079567887,-393.0834950174562
25,-465.01085093801805,-395.96058925427866
26,-322.835368475111,-393.1480807627722
27,-314.57765320964893,-390.2380649274714
28,-508.8419918535966,-394.4739194605473
29,-602.7184857389718,-401.65476657359636
30,-248.04320375497525,-396.534381146309
31,-398.6431265626592,-396.6024051919977
32,-419.5016125980182,-397.31800542343586
33,-394.5354342313334,-397.2336850842812
34,-355.0704704123567,-395.993590535107
35,-483.8004374696768,-398.5023575903804
36,-475.6897254373923,-400.6464511416863
37,-416.94462875958334,-401.0869424286565
38,-383.9734439450861,-400.6365872054046
39,-467.1775419657555,-402.34276553259315
40,-327.696452288214,-400.47660770148366
41,-318.3330087138919,-398.4731052871521
42,-263.58282707341084,-395.26143199634873
43,-284.5575207907042,-392.6869224334268
44,-490.1509848701441,-394.90201476153396
45,-282.081061574234,-392.3948824684828
46,-444.6916930766384,-393.53176965561664
47,-359.1657468814519,-392.80057768169826
48,-334.83814501582816,-391.5930270011593
49,-436.1925658206139,-392.50322167094413
50,-471.6933724877038,-394.0870246872793
51,-558.1789659059384,-397.3045137307825
52,-482.3744962136574,-398.9404749323763
53,-523.721911412644,-401.29484165841905
54,-6.382510848482531,-393.98165034712395
55,-319.40924078219905,-392.6257883550344
56,-479.431565772528,-394.17589152320386
57,-420.2573240359243,-394.63346051465504
58,-519.5485926994445,-396.78716969025487
59,-602.0401074828453,-400.26603304267167
60,-413.5880185164707,-400.48806613390167
61,-302.51169494020695,-398.8818961143329
62,-299.21544410847724,-397.2743726948836
63,-395.92398857268495,-397.2529380262773
64,-352.2028602048029,-396.54903056031674
65,-430.32780649752505,-397.06870403627374
66,-284.6756283021191,-395.36577864636234
67,-479.7236702646052,-396.62485165558985
68,-492.6440553577123,-398.03689876885636
69,-459.9893472101419,-398.9347603404692
70,-370.78642934721097,-398.5326413262798
71,-303.3435857434696,-397.1919504025783
72,-431.9253000903491,-397.6743580371306
73,-427.84014749082013,-398.08758802964695
74,-307.44628498335476,-396.8627055560484
75,-555.446195176422,-398.97715208432004
76,-299.18596164882297,-397.66411010490555
77,-404.7408385222051,-397.75601566876657
78,-429.55718038387624,-398.1637229087039
79,-361.35520669753333,-397.69779232375237
80,-464.9324524072216,-398.5382255747958
81,-356.0229767353248,-398.0133459594937
82,-343.00333820876006,-397.34249220643596
83,-426.3162620378287,-397.6915737706696
84,-364.43860331410275,-397.29570507475813
85,-478.59816498993774,-398.25220460317206
86,-461.8826932128135,-398.9920940056098
87,-419.52764277031,-399.2281347960086
