Episode,Reward,Steps
1,169.40488057586697,875
2,123.34184265638113,765
3,200.65761066387438,613
4,167.71878760687338,756
5,160.5587793771424,731
6,135.04462862932326,868
7,-3.6335753529324735,1000
8,146.87619215315326,755
9,89.36107126079057,962
10,44.40835211458362,1000
11,189.65673779504993,693
12,-9.059704411355723,1000
13,174.15618832495795,643
14,130.8379712990345,765
15,130.8616331006669,849
16,101.19154718877486,775
17,10.119140934217224,1000
18,117.63634464586153,850
19,125.26640673334302,828
20,172.71190615893715,638
21,33.14091855402272,1000
22,149.88815680372775,673
23,145.81214695940793,665
24,163.13871549432395,633
25,170.85528544329406,767
26,50.24112073725665,1000
27,179.00728218386274,606
28,175.12403865137466,663
29,201.82837933013542,657
30,131.07522900403586,887
31,103.39597126393554,839
32,-78.1731832675888,678
33,182.50217924734454,791
34,0.4628516086044969,1000
35,-20.475591795135678,1000
36,97.49648466141868,879
37,126.31875291877179,826
38,143.8441767410563,652
39,132.9019943165134,828
40,119.6199510262094,807
41,-88.83965725583676,661
42,144.31768324437786,847
43,197.45104976891503,651
44,118.71112807731157,804
45,-90.56833544902236,638
46,136.61211615625885,637
47,118.07313439849514,822
48,124.49857286417694,861
49,169.3418488134664,752
50,153.8798457432494,850
51,185.88229581079963,730
52,123.50853981446264,645
53,-65.318149667319,608
54,115.5339863787467,791
55,172.53026586423783,625
56,176.5043409396581,816
57,130.76898493907876,890
58,168.18829230511255,792
59,135.57115294936534,786
60,40.9525499517552,1000
61,162.1837834570792,611
62,20.57310463211043,1000
63,183.5656530400827,665
64,182.245446215155,677
65,-57.701095968926104,624
66,-56.891200865101055,631
67,207.73390511491846,581
68,115.87130683734404,788
69,111.30320354529488,998
70,125.42668485275475,966
71,44.35636750333487,1000
72,193.92096584894222,628
73,116.38352218875852,855
74,-75.7426670966776,696
75,136.70548245656306,908
76,159.64822528453385,647
77,-116.28065736389212,670
78,137.9405454563335,727
79,124.6313100308811,778
80,40.267444218277475,1000
81,191.50063292958583,667
82,145.90219908659364,888
83,30.395712804761814,1000
84,137.34810655511774,861
85,14.210438607889799,1000
86,18.649259131986646,1000
87,-82.40318742834225,661
88,26.508009346391056,1000
89,168.10564983138596,967
90,191.6685400374401,675
91,137.02392092340025,619
92,55.425412430083334,1000
93,154.83094265856576,647
94,105.08725898403786,865
95,119.4977073888417,651
96,140.58776049493784,686
97,153.25312338778616,901
98,149.04475508011075,773
99,28.032841762206218,1000
100,128.06530960141416,800
