Episode,Reward,Mean_100
1,-132.24782060427785,-132.24782060427785
2,-139.1275996147022,-135.68771010949
3,-237.45094234050475,-169.60878751982827
4,-167.85209157251046,-169.16961353299882
5,-383.50588559128374,-212.0368679446558
6,-111.2556292067095,-195.23999482166474
7,-180.76224058956723,-193.17174421707938
8,-102.92267112718714,-181.89061008084286
9,-320.44970064203744,-197.28606458764227
10,-204.60580587675662,-198.0180387165537
11,-472.040002368805,-222.9291263213038
12,-123.71385971013453,-214.66118743703967
13,-164.61383551769126,-210.81139113555133
14,-173.20291295282195,-208.12507126535638
15,-372.1924039758052,-219.06289344605295
16,-127.30541459578353,-213.32805101791115
17,-377.43170800335236,-222.9812073111724
18,-206.2394733780095,-222.05111098155223
19,-204.04145355549315,-221.10323427491753
20,35.195612279163186,-208.28829194721348
21,-127.94928847664413,-204.4626251152816
22,-121.54434291937292,-200.69361228819483
23,-20.50121272476852,-192.85916013326326
24,-140.47469841491727,-190.67647422833224
25,-443.29429271849557,-200.78118696793877
26,-159.93280517250753,-199.2100953604222
27,-158.81051066553368,-197.71381444579671
28,-239.3676193282982,-199.20145033445746
29,-151.29670946613453,-197.5495627183084
30,-281.47875964530624,-200.347202615875
31,-144.6297381816459,-198.5498650534805
32,-94.91916406169433,-195.31140564748716
33,-127.8438596293467,-193.26693455602836
34,-122.5655676353609,-191.18748258777342
35,-97.71565954686366,-188.51685907231888
36,-198.01803968457344,-188.78078075599262
37,-118.75272413229537,-186.88813057697377
38,-94.99364736085697,-184.4698547028654
39,-84.49414674982026,-181.9063750117617
40,-380.58079460158876,-186.87323550150737
41,-83.73505035985761,-184.3576700102476
42,-278.4467710641445,-186.59788670200706
43,-71.68562153122643,-183.92550844222146
44,-198.00970704057303,-184.24560386491126
45,-130.9752537419502,-183.06181830662325
46,-14.84815835030902,-179.40499961192077
47,-94.72575559646302,-177.60331356903868
48,-95.40765630359316,-175.89090404267526
49,-101.7404608051716,-174.37762969088945
50,-125.44146912381684,-173.39890647954797
51,-143.62147231794629,-172.81503522147736
52,-214.2120575738614,-173.61113180517702
53,-13.717892295280507,-170.5942782295186
54,-131.97122085421307,-169.87903642627222
55,-110.03694909922855,-168.79099847487143
56,-296.7357233324883,-171.07572570447178
57,-145.7163427058459,-170.63082424835554
58,-93.29840078790778,-169.29750660248575
59,-397.0102057778497,-173.15704387664445
60,-158.6284386696815,-172.9149004565284
61,-69.94053146008916,-171.2267960467507
62,-153.3985734138762,-170.93924406880112
63,-130.3910483278807,-170.29562191418336
64,-418.230847305358,-174.16960981092046
65,-329.93218012794523,-176.565957046567
66,-389.6438172588256,-179.79440947402549
67,-152.9352742844256,-179.39352685925533
68,-172.59638547202658,-179.29356889767843
69,-367.01849208049435,-182.01421995829895
70,-213.29401269882666,-182.46107414030652
71,-73.85097111168639,-180.93135437934
72,-58.618352754898986,-179.23256269011165
73,-68.25772279944218,-177.71235940393808
74,-416.9810538441136,-180.94572013961616
75,-403.27879265966766,-183.91016110655016
76,-77.43875127997794,-182.50922150356897
77,-75.2724030471248,-181.11653554958917
78,-115.44576848169713,-180.27460263846237
79,-175.17802140148322,-180.21008895191832
80,-279.96734764224334,-181.45705468554735
81,-112.42724816709882,-180.60483485198625
82,-477.47277767120846,-184.22517561807433
83,-246.92559462926624,-184.98060235314892
84,-323.6577641936521,-186.63152094648825
85,-192.2508273297792,-186.6976304333505
86,-143.514891468381,-186.19550556166482
87,-77.84316956111878,-184.95007641223324
88,-113.7702390875711,-184.14121462445297
89,-128.16787820186062,-183.5123007320643
90,-430.3199659790138,-186.25460812369707
91,-81.28072556557692,-185.1010489747067
92,-298.56274013369773,-186.33432822643488
93,-492.81525779276814,-189.62982209273954
94,-88.48050135194808,-188.55376548911408
95,-339.80636453567377,-190.14589811065682
96,-2.5847118408341174,-188.19213575367954
97,-380.1809478048824,-190.1714018573002
98,-127.93859194142102,-189.53637318468915
99,-85.35219904666863,-188.48400778935562
100,-56.292882257027884,-187.16209653403234
101,-268.79420183285754,-188.52756034631818
102,-81.93238767351798,-187.95560822690638
103,-109.77399611586503,-186.67883876465993
104,-328.0794615681132,-188.28111246461594
105,-249.4493212717103,-186.9405468214202
106,-106.72607433820883,-186.8952512727352
107,-71.1707556199341,-185.79933642303888
108,-248.87255605419722,-187.25883527230897
109,-209.0826115216734,-186.1451643811053
110,-226.77357765701595,-186.3668420989079
111,-87.77623566897103,-182.52420443190957
112,-329.3501355471715,-184.58056719027994
113,-95.58330003804818,-183.8902618354835
114,-107.80777755888077,-183.2363104815441
115,-66.0538962455434,-180.17492540424146
116,-113.01865110982408,-180.03205776938185
117,-195.27850490061837,-178.21052573835456
118,-81.26059588989222,-176.96073696347344
119,-145.8920706119007,-176.3792431340375
120,-105.52461439092986,-177.78644540073844
121,-85.02862614561782,-177.35723877742817
122,-209.1787642530433,-178.23358299076483
123,-127.40331978997649,-179.30260406141693
124,-106.16690712729246,-178.95952614854068
125,-345.891178914467,-177.9854950105004
126,-200.0873072557217,-178.3870400313325
127,-54.96790817610963,-177.34861400643828
128,-96.85140659561581,-175.92345187911144
129,-23.644421704999687,-174.64692900150013
130,-285.06629823769947,-174.68280438742408
131,-77.88022717832706,-174.01530927739088
132,-118.51499101188979,-174.25126754689285
133,-74.72239025962205,-173.7200528531956
134,-112.44656267267774,-173.61886280356876
135,-80.25111049689954,-173.4442173130691
136,-254.9566368915568,-174.0136032851389
137,-87.81041598455184,-173.70418020366148
138,-270.9071770900964,-175.4633155009539
139,-28.800605091449796,-174.90638008437017
140,-104.58367581077422,-172.14640889646202
141,-83.35786652340488,-172.1426370580975
142,-141.90413553381168,-170.77721070279418
143,-143.88492854944755,-171.49920377297636
144,-31.961952930227497,-169.83872623187298
145,-133.72250368469807,-169.86619873130041
146,-16.766930845944287,-169.88538645625678
147,-142.66265109747897,-170.3647554112669
148,-86.45387308134207,-170.27521757904444
149,-110.02632150009052,-170.35807618599364
150,-50.889242650143544,-169.6125539212569
151,-154.6407424462903,-169.72274662254037
152,-264.2305321665997,-170.2229313684677
153,-171.8052498983758,-171.80380494449864
154,-340.46198793138603,-173.88871261527035
155,-298.42875772463486,-175.77263070152446
156,-85.93440775994186,-173.66461754579896
157,-129.41869540041364,-173.50164107274472
158,34.372386190839734,-172.22493320295717
159,-69.8387997390711,-168.9532191425694
160,-71.36798355929675,-168.08061459146552
161,-162.66859988117352,-169.0078952756764
162,-185.59104968314853,-169.32982003836912
163,-188.88594759859762,-169.91476903107628
164,-117.3224706362927,-166.90568526438565
165,-133.22371110945357,-164.9386005742007
166,-229.95036120035678,-163.34166601361602
167,-163.58722798280226,-163.44818555059976
168,-280.54389896065777,-164.52766068548607
169,-81.7670306015153,-161.67514607069631
170,-96.80163109497,-160.51022225465772
171,-167.17971858847147,-161.44350972942559
172,-83.29282323745623,-161.69025443425116
173,-207.24006647656344,-163.08007787102235
174,-49.324138933265445,-159.40350872191388
175,-56.52823119905307,-155.93600310730773
176,-176.12009104674314,-156.9228165049754
177,-47.9602070763524,-156.6496945452677
178,-166.56708746778327,-157.16090773512852
179,-113.87904881562324,-156.54791800926995
180,-118.31687304302729,-154.9314132632778
181,-113.72609437483301,-154.94440172535514
182,-55.52061415128301,-150.72488009015586
183,-64.00663238297085,-148.89569046769293
184,-290.83252215443673,-148.56743804730075
185,-274.16504599670327,-149.38658023397
186,-74.66017369990819,-148.69803305628528
187,-112.6764210867096,-149.04636557154117
188,-172.28700143755842,-149.63153319504107
189,-96.24159331471517,-149.31227034616958
190,-47.61051998731179,-145.48517588625256
191,-259.63531029831375,-147.26872173357992
192,-66.42713178148233,-144.94736565005778
193,-71.77084551817074,-140.73692152731184
194,-87.6537931941908,-140.72865444573424
195,-61.366493124074246,-137.94425573161826
196,-65.67595601474387,-138.57516817335735
197,-72.37107106096771,-135.49706940591824
198,-111.09043411474359,-135.32858782765143
199,-61.98614762695419,-135.0949273134543
200,-102.56763191137401,-135.55767480999776
201,-216.03924738314595,-135.0301252655006
202,-97.91554355923277,-135.18995682435775
203,-68.07591643579296,-134.77297602755704
204,3.4632932655997735,-131.45754847921992
205,-31.60740741676514,-129.27912934067047
206,-252.16470970093016,-130.73351569429767
207,-99.6563624290175,-131.01837176238848
208,-116.71506544074632,-129.696796856254
209,-82.41244096663883,-128.43009515070366
210,-104.3826574711573,-127.20618594884505
211,-89.04492576510754,-127.21887284980642
212,-63.62353667033665,-124.56160686103806
213,-85.42241291322601,-124.45999798978984
214,-77.26787871187224,-124.15459900131977
215,-115.06401685785931,-124.64470020744292
216,-92.51326435214679,-124.43964633986616
217,-72.75123695501675,-123.21437366041015
218,-108.90842481697378,-123.49085194968094
219,-84.73443602719135,-122.87927560383385
220,46.79039259867855,-121.35612553393777
221,-54.00034957960495,-121.04584276827764
222,-16.170711982596075,-119.1157622455732
223,-79.37356012211781,-118.6354646488946
224,-46.57289959061129,-118.0395245735278
225,-150.1041999013433,-116.08165478339657
226,-34.97352087975439,-114.43051691963689
227,-327.0064172100896,-117.15090200997669
228,-289.8053405986893,-119.08044135000742
229,-163.2964669198177,-120.47696180215559
230,-401.05820828835374,-121.63688090266216
231,-268.11669639714864,-123.53924559485036
232,-158.1762329917944,-123.93585801464938
233,-146.37873889715945,-124.65242150102476
234,-337.513689207208,-126.90309276637008
235,-30.346064830734505,-126.4040423097084
236,-33.199445758840085,-124.18647039838126
237,-26.330162572505998,-123.5716678642608
238,-105.20803413209228,-121.91467643468077
239,-223.9161160242565,-123.86583154400881
240,-99.89570580018356,-123.81895184390292
241,-123.75139122875025,-124.22288709095638
242,-53.30281895641845,-123.33687392518245
243,-107.90003537668906,-122.97702499345488
244,-229.7939251925353,-124.95534471607795
245,-74.92869868121483,-124.36740666604311
246,-104.98937385678624,-125.24963109615152
247,-152.75489830990915,-125.35055356827583
248,-156.5418343169498,-126.0514331806319
249,-373.44137291083416,-128.68558369473934
250,-168.55732750758625,-129.86226454331378
251,-57.565367411842296,-128.89151079296929
252,-405.46280041074505,-130.30383347541073
253,-58.07076923287586,-129.16648866875576
254,-336.31816728639114,-129.1250504623058
255,-268.6251595800443,-128.8270144808599
256,-151.10363448802062,-129.4787067481407
257,-261.6489482028959,-130.8010092761655
258,-277.71872288578595,-133.92192036693174
259,-10.229182631966665,-133.32582419586072
260,-129.9424495980551,-133.9115688562483
261,-175.5230203076688,-134.04011306051322
262,-53.75897629884214,-132.7217923266702
263,-313.857500037102,-133.97150785105524
264,-52.84716616710528,-133.32675480636334
265,-131.00849785857886,-133.30460267385462
266,-86.63567800068411,-131.87145584185788
267,-105.20578943944703,-131.28764145642432
268,-70.30631661097891,-129.18526563292755
269,-86.91556444019082,-129.23675097131428
270,-166.73744609421004,-129.93610912130669
271,-111.67770681978357,-129.3810890036198
272,-359.8285440600682,-132.14644621184596
273,-78.51505760589825,-130.8591961231393
274,-188.0989585366196,-132.24694431917283
275,-143.71185289893754,-133.11878053617167
276,-188.15742127545943,-133.23915383845883
277,-21.465008155326203,-132.97420184924854
278,-34.65187228084682,-131.6550496973792
279,-75.25104947491583,-131.26876970397214
280,-36.9009676122393,-130.45461064966426
281,-89.76532607261709,-130.2150029666421
282,-56.02224580812007,-130.2200192832105
283,-234.88533231984505,-131.9288062825792
284,-88.94213277404393,-129.9099023887753
285,-91.83155097177733,-128.08656743852603
286,-47.359739991508434,-127.81356310144203
287,-84.14968058722908,-127.5282956964472
288,-23.131097729622823,-126.03673665936785
289,-265.11525233121,-127.72547324953281
290,-62.039856535208465,-127.86976661501176
291,-267.1920391769927,-127.94533390379857
292,-252.83599208543416,-129.80942250683808
293,-184.50003128508723,-130.93671436450725
294,45.98731965406866,-129.60030323602464
295,-21.50547905405186,-129.20169309532446
296,-59.25366608652345,-129.13747019604224
297,6.66185984029552,-128.3471408870296
298,-112.48750176194004,-128.36111156350154
299,-53.82107639197213,-128.27946085115173
300,-35.92543764442587,-127.61303890848227
301,-26.15645602393691,-125.71421099489017
302,-188.5304104136269,-126.6203596634341
303,-24.50440334017597,-126.18464453247792
304,-2.8784510383463697,-126.24806197551737
305,1.3114558463887391,-125.91887334288586
306,-111.55791609896258,-124.51280540686615
307,-19.06916581946888,-123.70693344077068
308,-127.81026692672457,-123.81788545563046
309,-124.83188805949625,-124.24207992655903
310,-15.147307047276229,-123.34972642232023
311,-29.108663677832155,-122.75036380144749
312,-14.853443180152667,-122.26266286654565
313,-180.9716800407634,-123.21815553782106
314,-111.93712292868544,-123.56484797998917
315,-98.03396090003532,-123.3945474204109
316,-12.168013597750118,-122.59109491286695
317,-31.914477810228973,-122.18272732141908
318,-170.51942552418507,-122.79883732849117
319,-123.56124252753396,-123.1871053934946
320,-136.08486614517219,-125.01585798093315
321,-47.29037160962903,-124.94875820123337
322,-87.22061100136176,-125.65925719142102
323,-199.637149299403,-126.86189308319386
324,-237.67601666450562,-128.77292425393279
325,-233.64208525984418,-129.6083031075178
326,-350.86241494697254,-132.76719204819
327,-5.469780486893214,-129.55182568095802
328,-231.3375463330049,-128.96714773830118
329,-110.78883362666261,-128.44207140536963
330,-46.71025588361685,-124.89859188132228
331,-57.92363261222465,-122.79666124347303
332,-83.05604477325244,-122.04545936128761
333,-57.08523415844097,-121.15252431390043
334,-45.77946542523699,-118.23518207608073
335,-2.9086401493897966,-117.96080782926727
336,-200.09448671618637,-119.62975823884074
337,-55.79129087708192,-119.92436952188649
338,-37.34216090023979,-119.24571078956795
339,-43.314251615586564,-117.43969214548126
340,-26.067120977101553,-116.70140629725041
341,-78.25256014199368,-116.24641798638284
342,-68.98628621424109,-116.40325265896108
343,-194.2560686149866,-117.26681299134407
344,-2.892281322628662,-114.99779655264501
345,-83.69543220961778,-115.08546388792905
346,-122.85538583253167,-115.26412400768649
347,-54.94556650912338,-114.28603068967864
348,-64.07967060000604,-113.36140905250919
349,-59.6800015801107,-110.22379533920197
350,-77.15876673373812,-109.30980973146349
351,35.803845528133515,-108.37611760206374
352,13.669285882886925,-104.18479673912744
353,-154.62105629424076,-105.15029960974108
354,-80.83391597084372,-102.59545709658559
355,-99.74471174153004,-100.90665261820045
